method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,capacity_factor
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.001185000000987202,0.0,0.0,,,,,,,,,0.4
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.0017912999901454896,0.0,0.0,,,,,,,,,0.4
offline_centralized_lp,660.3763150779855,223.09874597561165,176.32113362447225,2.4083506266777586,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.021868900017580017,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,0.4
online_lyapunov_admm,755.0248854740288,191.35533545835835,113.69633823239958,2.0656805579698263,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.00916670000879094,0.0,0.0,,420.0,46.0,9.130434782608695,0.00010475840147850601,0.0007955370734655419,1.0,0.015,0.4
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.0005443000118248165,0.0,0.0,,,,,,,,,0.32
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.0015774999919813126,0.0,0.0,,,,,,,,,0.32
offline_centralized_lp,664.5018793713134,191.96003375769607,145.18242140655667,2.0722082752001154,0.0,0.0,0.0,4.973799150320702e-16,2.6753897071426484e-17,0.9999999999999997,0.012036100000841543,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,0.32
online_lyapunov_admm,754.1284514518067,169.80324900806548,96.69235221788203,1.833025817788713,0.0,0.0,0.0,1.340323182441594e-08,7.20955297585289e-10,0.9999999999999997,0.029000599985010922,0.0,0.0,,1041.0,45.0,23.133333333333333,0.00011396200293736599,0.00364597417868945,1.0,0.015,0.32
uncontrolled_capped,754.8690087780351,175.32436594692518,98.21137409136848,1.8928528246364142,0.02,0.02,0.0,0.005000401243748411,0.00026896988830450074,0.9999934121709853,0.000983899983111769,0.020833333333333332,3.3867115498602516,,,,,,,,,0.26
greedy_deadline_price,719.9782949572523,171.29496559229744,111.01208812881443,1.8491288954894072,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.0023364000080619007,0.0,0.0,,,,,,,,,0.26
offline_centralized_lp,678.6949041407563,171.29496559229744,127.4868583951162,1.8491288954894074,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.016529799991985783,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,0.26
online_lyapunov_admm,735.2592706537852,153.99385139153264,99.84116680157929,1.6623633941357507,0.0,0.0,0.0,9.631812576405005e-09,5.180919343391568e-10,0.9999999999999997,0.03644289998919703,0.0,0.0,,1263.0,45.0,28.066666666666666,5.0022959395356524e-05,0.005872902069061072,1.0,0.015,0.26
uncontrolled_capped,746.1343996103063,159.4363659469252,94.6099506017655,1.7219370145769854,0.02,0.04,0.02,0.01994584397323466,0.0010728801878303528,0.9999008218100821,0.0010307000193279237,0.020833333333333332,3.3867115498602516,,,,,,,,,0.22
greedy_deadline_price,709.6010760167441,155.4069655922975,108.72773673008041,1.680777667112916,0.1,0.1,0.06,0.07912177403926904,0.004255933411824198,0.9995445343885734,0.002761999989161268,0.0,0.0,,,,,,,,,0.22
offline_centralized_lp,694.8199165924475,159.43636594692524,111.59885839511622,1.7211153301842268,0.0,0.0,0.0,6.394884621840901e-16,3.439786766326262e-17,0.9999999999999997,0.01992890000110492,0.020833333333333332,3.38671154986028,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,0.22
online_lyapunov_admm,717.3222301659013,148.0166746263745,104.01528297843917,1.5978397795842185,0.0,0.0,0.0,2.7755575615628914e-19,1.4929630062179956e-20,0.9999999999999997,0.030981499992776662,0.0,0.0,,1433.0,46.0,31.152173913043477,0.00012850524504344667,0.006397265788605749,1.0,0.015,0.22
