method,total_cost,peak_total_load_kw,peak_ev_load_kw,peak_to_average_ratio,deadline_violation_rate,strict_deadline_violation_rate,severe_deadline_violation_rate,average_remaining_kwh,unserved_energy_ratio,fairness_jain,runtime_s,capacity_violation_rate,capacity_violation_max_kw,solver_status,dual_iterations,offline_admm_iterations,offline_admm_primal_residual,offline_admm_dual_residual,total_admm_iterations,active_slots,avg_admm_iterations,avg_final_primal_residual,avg_final_dual_residual,V,beta,capacity_factor
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.001259100012248382,0.0,0.0,,,,,,,,,,,,,0.4
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.004559199995128438,0.0,0.0,,,,,,,,,,,,,0.4
offline_centralized_lp,660.3763150779855,223.09874597561165,176.32113362447225,2.4083506266777586,0.0,0.0,0.0,5.684341886080802e-16,3.057588236734455e-17,0.9999999999999997,0.04381240002112463,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,0.4
dual_decomposition,660.3763150779855,223.09874597561165,176.32113362447225,2.408350626677758,0.0,0.0,0.0,1.2079226507921704e-15,6.497375003060718e-17,0.9999999999999997,0.12120989998220466,0.0,0.0,,250.0,,,,,,,,,,,0.4
offline_admm,661.972726815255,221.6169981074938,172.956439202594,2.3923551606738833,0.0,0.0,0.0,2.1316282072803005e-16,1.1465955887754207e-17,0.9999999999999997,4.382178800005931,0.0,0.0,,,200.0,0.0,0.10675609069553442,,,,,,,,0.4
online_lyapunov_admm,755.0248854740288,191.35533545835835,113.69633823239958,2.0656805579698263,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.01366940001025796,0.0,0.0,,,,,,420.0,46.0,9.130434782608695,0.00010475840147850601,0.0007955370734655419,1.0,0.015,0.4
uncontrolled_capped,754.9707572656419,195.65899722595879,118.00000000000001,2.112138580267014,0.0,0.0,0.0,2.498001805406602e-18,1.343666705596196e-19,0.9999999999999997,0.0009821999992709607,0.0,0.0,,,,,,,,,,,,,0.32
greedy_deadline_price,720.5756809648162,177.18351778464947,112.95765945534845,1.9126958075339329,0.0,0.0,0.0,2.220446049250313e-18,1.1943704049743965e-19,0.9999999999999997,0.0027657999889925122,0.0,0.0,,,,,,,,,,,,,0.32
offline_centralized_lp,664.5018793713134,191.96003375769607,145.18242140655667,2.0722082752001154,0.0,0.0,0.0,4.973799150320702e-16,2.6753897071426484e-17,0.9999999999999997,0.01975249999668449,0.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),,,,,,,,,,,,0.32
dual_decomposition,672.655708732412,195.1269655922975,145.18242140655673,2.1063952995832196,0.0,0.0,0.0,6.039613253960852e-16,3.248687501530359e-17,0.9999999999999997,0.11281749999034218,0.0,0.0,,250.0,,,,,,,,,,,0.32
offline_admm,665.9748758414748,191.9600337576961,145.1824214065567,2.072225845490609,0.0,0.24,0.0,0.00034888757343207286,1.8766544339651475e-05,0.9999999990447486,4.380736299994169,0.0,0.0,,,200.0,0.004799282855075765,0.10035198304455364,,,,,,,,0.32
online_lyapunov_admm,754.1284514518067,169.80324900806548,96.69235221788203,1.833025817788713,0.0,0.0,0.0,1.340323182441594e-08,7.20955297585289e-10,0.9999999999999997,0.03077129999292083,0.0,0.0,,,,,,1041.0,45.0,23.133333333333333,0.00011396200293736599,0.00364597417868945,1.0,0.015,0.32
uncontrolled_capped,754.8690087780351,175.32436594692518,98.21137409136848,1.8928528246364142,0.02,0.02,0.0,0.005000401243748411,0.00026896988830450074,0.9999934121709853,0.0011383999953977764,0.020833333333333332,3.3867115498602516,,,,,,,,,,,,,0.26
