slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,dual_decomposition_ev_load_kw,offline_admm_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.4089258085048858,30.00000061925505,29.97571827422046,227.54565439706494,194.24565374065457,0.0,0.0,0.0,0.0,0.0,0.0
1,0.5,0.46268449153798263,30.10266321047052,25.723173351446995,227.54565439706494,194.1368313939662,17.6,17.6,0.0,0.0,6.369871913400117,17.599985649751694
2,1.0,0.44859503003680234,30.40889385576631,36.13364649799129,227.54565439706494,193.81222690995264,17.6,17.6,11.0,11.0,9.187764213636196,17.599983544055092
3,1.5,0.460531613393173,30.913454581803283,35.81283782893079,227.54565439706494,193.27739254035345,24.799999999999997,24.799999999999997,6.203799120874495,6.2037991208745025,11.015484967838352,24.79988609726599
4,2.0,0.42623412233934327,31.607715984434424,30.033170909704662,227.54565439706494,192.54147545356443,20.927554103995792,20.927554103995792,24.799999999999997,24.799999999999997,20.859945753128038,20.927585355355813
5,2.5,0.43589584037414697,32.47980711009322,35.14131013445873,227.54565439706494,191.61705886036611,18.2,18.2,24.799999999999997,24.799999999999997,18.406216873545947,18.199974208262457
6,3.0,0.4303014603525988,33.51482297205025,34.8443127628805,227.54565439706494,190.51994204669168,10.523799120874497,10.523799120874497,24.799999999999997,24.799999999999997,20.04647815047695,10.523876447075178
7,3.5,0.438818509176484,34.69508799991182,25.334088270467973,227.54565439706494,189.2688611171584,2.8799999999999986,2.8799999999999986,20.927554103995796,20.927554103995796,17.529416232845037,2.880061923104066
8,4.0,0.47605052112666085,36.00047408514821,36.916937947323035,227.54565439706494,187.88515186680786,0.0,0.0,0.0,0.0,3.845268998952647,0.0
9,4.5,0.4681793204997483,37.408772997167276,37.179068471985275,227.54565439706494,186.39235502006764,6.6,6.6,6.6,6.6,11.870906121047003,6.599998821110151
10,5.0,0.521244635708049,38.896125006931236,39.21516099215251,227.54565439706494,184.8157618897178,13.2,13.2,13.2,13.2,13.2,13.199963968494053
11,5.5,0.5537982132425858,40.43750868782824,36.20942797251452,227.54565439706494,183.18189518796697,13.2,13.2,13.2,13.2,13.2,13.19996188422923
12,6.0,0.6355067628446415,42.00730096597073,40.924407850547574,227.54565439706494,181.51791537313596,13.2,7.417137603831161,13.2,13.2,10.569458485563121,13.199959129694275
13,6.5,0.5918988297282997,43.57992104663645,42.84642273151871,227.54565439706494,179.85093808763028,13.2,7.417137603831161,13.2,13.2,13.2,13.199957314336038
14,7.0,0.6865662877972031,45.13057567782443,50.12987956258008,227.54565439706494,178.20724417857105,20.4,11.944161568272353,5.562143786647151,5.562143786647151,4.8838513222227755,20.39997151900701
15,7.5,0.6885463206628357,46.63612428312431,48.07354779083295,227.54565439706494,176.61136265695316,17.92054872368738,11.944161568272353,0.0,0.0,4.487844749096295,17.92061821758266
16,8.0,0.7001353612155393,48.07607781242106,48.05172142326065,227.54565439706494,175.0850119158986,13.8,11.944161568272353,0.0,0.0,2.170036638555507,13.799957721842542
17,8.5,0.6552266310317532,49.433731000670534,56.262147492626454,227.54565439706494,173.64589953635416,25.362143786647145,19.199515565745287,13.616287424302644,13.61628742430262,17.384362596308378,25.362055032560622
18,9.0,0.6544848880777898,50.697400342677845,48.175550852952135,227.54565439706494,172.30641003382644,34.199999999999996,31.337166680649837,20.4,20.4,22.77963382094276,34.199977484124
19,9.5,0.6483816216100315,51.86169699878106,50.06576055305258,227.54565439706494,171.072255578357,47.16788939145081,40.26664945791457,35.93835010333657,35.93835010333657,26.441593701597547,47.16754588803764
20,10.0,0.5882755788876607,52.92870565685288,44.43406366509764,227.54565439706494,169.94122640080087,49.800000000000004,43.898568435091185,34.488,34.48800000000001,38.216328028858484,49.80009537520529
