slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.4089258085048858,30.00000061925505,29.97571827422046,156.04965439706496,121.09965372207695,0.0,0.0,0.0,0.0
1,0.5,0.46268449153798263,30.10266321047052,25.723173351446995,156.04965439706496,120.98775149765208,17.6,17.6,0.0,17.599982587337287
2,1.0,0.44859503003680234,30.40889385576631,36.13364649799129,156.04965439706496,120.65396009427968,17.6,17.6,11.0,17.599979492800173
3,1.5,0.460531613393173,30.913454581803283,35.81283782893079,156.04965439706496,120.10398890289937,24.799999999999997,24.799999999999997,6.203799120874495,24.799974108469513
4,2.0,0.42623412233934327,31.607715984434424,30.033170909704662,156.04965439706496,119.34724397403144,20.927554103995792,20.927554103995792,24.799999999999997,20.927543919024107
5,2.5,0.43589584037414697,32.47980711009322,35.14131013445873,156.04965439706496,118.39666464706335,18.2,18.2,24.799999999999997,18.20000010072548
6,3.0,0.4303014603525988,33.51482297205025,34.8443127628805,156.04965439706496,117.2684973575302,10.523799120874497,10.523799120874497,24.799999999999997,10.523821282886733
7,3.5,0.438818509176484,34.69508799991182,25.334088270467973,156.04965439706496,115.98200847716107,2.8799999999999986,2.8799999999999986,20.927554103995796,2.8800517336270013
8,4.0,0.47605052112666085,36.00047408514821,36.916937947323035,156.04965439706496,114.55913764425341,0.0,0.0,0.0,0.0
9,4.5,0.4681793204997483,37.408772997167276,37.179068471985275,156.04965439706496,113.02409183015263,6.6,6.6,6.6,6.599990451579308
10,5.0,0.521244635708049,38.896125006931236,39.21516099215251,156.04965439706496,111.40287813950991,13.2,13.2,13.2,13.19998767028775
11,5.5,0.5537982132425858,40.43750868782824,36.20942797251452,156.04965439706496,109.72276992733217,13.2,13.2,13.2,13.199983629229903
12,6.0,0.6355067628446415,42.00730096597073,40.924407850547574,156.04965439706496,108.01169634415686,13.2,7.417137603831161,13.2,13.199978296732795
13,6.5,0.5918988297282997,43.57992104663645,42.84642273151871,156.04965439706496,106.29754045623122,13.2,7.417137603831161,13.2,13.199974773047948
14,7.0,0.6865662877972031,45.13057567782443,50.12987956258008,156.04965439706496,104.60732690823633,20.4,11.944161568272353,5.562143786647151,20.399966124819123
15,7.5,0.6885463206628357,46.63612428312431,48.07354779083295,156.04965439706496,102.96627892845946,17.92054872368738,11.944161568272353,0.0,17.920592987100626
