slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.4089258085048858,30.00000061925505,29.97571827422046,156.04965439706496,124.39965375923225,0.0,0.0,0.0,0.0
1,0.5,0.46268449153798263,30.10266321047052,25.723173351446995,156.04965439706496,124.29391129028032,17.6,17.6,0.0,17.599999489022057
2,1.0,0.44859503003680234,30.40889385576631,36.13364649799129,156.04965439706496,123.97849372562565,17.6,17.6,11.0,17.59999952323358
3,1.5,0.460531613393173,30.913454581803283,35.81283782893079,156.04965439706496,123.45879617780759,24.799999999999997,24.799999999999997,6.203799120874495,24.799991306261376
4,2.0,0.42623412233934327,31.607715984434424,30.033170909704662,156.04965439706496,122.7437069330975,20.927554103995792,20.927554103995792,24.799999999999997,20.92755503950457
5,2.5,0.43589584037414697,32.47980711009322,35.14131013445873,156.04965439706496,121.84545307366893,18.2,18.2,24.799999999999997,18.199999783819308
6,3.0,0.4303014603525988,33.51482297205025,34.8443127628805,156.04965439706496,120.77938673585321,10.523799120874497,10.523799120874497,24.799999999999997,10.523791197327874
7,3.5,0.438818509176484,34.69508799991182,25.334088270467973,156.04965439706496,119.56371375715578,2.8799999999999986,2.8799999999999986,20.927554103995796,2.880016066942771
8,4.0,0.47605052112666085,36.00047408514821,36.916937947323035,156.04965439706496,118.21916608936229,0.0,0.0,0.0,0.0
9,4.5,0.4681793204997483,37.408772997167276,37.179068471985275,156.04965439706496,116.76861820998266,6.6,6.6,6.6,6.599999877263045
10,5.0,0.521244635708049,38.896125006931236,39.21516099215251,156.04965439706496,115.23664563992577,13.2,13.2,13.2,13.199994780423957
11,5.5,0.5537982132425858,40.43750868782824,36.20942797251452,156.04965439706496,113.64902044860186,13.2,13.2,13.2,13.199999172865589
12,6.0,0.6355067628446415,42.00730096597073,40.924407850547574,156.04965439706496,112.0321344021151,13.2,7.417137603831161,13.2,13.199999613105863
13,6.5,0.5918988297282997,43.57992104663645,42.84642273151871,156.04965439706496,110.4123357190294,13.2,7.417137603831161,13.2,13.199999651251126
14,7.0,0.6865662877972031,45.13057567782443,50.12987956258008,156.04965439706496,108.8151614489058,20.4,11.944161568272353,5.562143786647151,20.399997630185215
15,7.5,0.6885463206628357,46.63612428312431,48.07354779083295,156.04965439706496,107.26444638544692,17.92054872368738,11.944161568272353,0.0,17.92055143470681
16,8.0,0.7001353612155393,48.07607781242106,48.05172142326065,156.04965439706496,105.78129425027126,13.8,11.944161568272353,0.0,13.799999714345144
17,8.5,0.6552266310317532,49.433731000670534,56.262147492626454,156.04965439706496,104.38291146637431,25.362143786647145,19.199515565745287,13.616287424302644,25.362143522391122
18,9.0,0.6544848880777898,50.697400342677845,48.175550852952135,156.04965439706496,103.08133204410679,34.199999999999996,31.337166680649837,20.4,34.19999367164117
19,9.5,0.6483816216100315,51.86169699878106,50.06576055305258,156.04965439706496,101.88210648832046,47.16788939145081,40.26664945791457,35.93835010333657,47.16779088474644
20,10.0,0.5882755788876607,52.92870565685288,44.43406366509764,156.04965439706496,100.78308757050648,49.800000000000004,43.898568435091185,34.488,49.80002190492648
21,10.5,0.5566031420553642,53.9088728640776,61.33785528815807,156.04965439706496,99.77351534706501,64.2,50.17721733327168,43.7258910936024,64.1999794257113
22,11.0,0.5202891531680919,54.821344056924225,59.439802401736785,156.04965439706496,98.833670018433,60.16749407027255,75.5592988567548,56.400000000000006,60.16750021163268
23,11.5,0.5407811934164085,55.69344701401885,60.13246476000159,156.04965439706496,97.93540397262554,60.20341351679805,80.35818686448162,49.800000000000004,60.2034061907377
24,12.0,0.5077940028780722,56.55902514996932,59.83230746296179,156.04965439706496,97.04385849259654,50.064,55.41046940448367,77.4,50.06401808938639
25,12.5,0.4613417364688941,57.45540109902627,58.00034185760413,156.04965439706496,96.1205912650679,43.56266281989997,44.426662819899974,70.80000000000001,43.56266574845846
26,13.0,0.5178702665478825,58.4189153844939,59.497466599530604,156.04965439706496,95.12817155103623,32.60395432033823,43.278326501181084,43.278326501181084,32.60402001003784
27,13.5,0.5147953882792222,59.47923530518867,58.20187586292966,156.04965439706496,94.03604203272063,11.288,22.561284797141067,64.93110772002427,11.288009936629035
28,14.0,0.5208594639203571,60.65293921829766,59.606600724941636,156.04965439706496,92.82712700221836,10.73980651489222,10.73980651489222,25.13980651489222,10.739808167586613
29,14.5,0.635361794518977,61.937197289743494,62.220457518049436,156.04965439706496,91.50434118862916,0.0,0.0,0.0,0.0
30,15.0,0.7352773391627698,63.30461550384376,71.31470692740396,156.04965439706496,90.09590042810588,14.4,4.675641979600277,14.4,14.399999436229441
31,15.5,0.7610241045983146,64.7004019066441,67.69112759425477,156.04965439706496,88.65824043322152,32.0,13.503638705587889,32.0,31.99998668648518
32,16.0,0.7898928621068477,66.04288429510547,65.72354158718498,156.04965439706496,87.27548357310633,74.4,35.0217693829789,74.4,73.40066389016701
33,16.5,0.8526466841118747,67.2280279610894,64.0218567873658,156.04965439706496,86.05478559714288,86.05478559714288,40.98327030338246,86.05478559714288,76.91203942804277
34,17.0,0.9547451335309749,68.13800028839286,64.58945093017229,156.04965439706496,85.11751410002032,85.11751410002033,51.46759300323272,85.11751410002032,85.11751410002033
35,17.5,0.969959466750794,68.65309969443253,77.65899722595876,156.04965439706496,84.58696171179945,84.58696171179943,58.70569710109406,84.58696171179945,84.58696171179946
36,18.0,0.9925004349650817,68.66565439706494,71.51320627257192,156.04965439706496,84.57403036808806,84.57403036808806,60.40680458368107,2.6400000000000023,84.57403036808807
37,18.5,0.9986634654861386,68.09396651815139,68.47127948297066,156.04965439706496,85.16286888336903,85.16286888336904,60.31676247364985,0.0,83.80629001623362
38,19.0,0.9922604127639569,66.89417145876976,64.98544584524805,156.04965439706496,86.3986577945321,86.39865779453211,72.71588932428669,3.497536789656618,80.00819921986218
39,19.5,0.9861537191614347,65.06807963641094,59.07466097604636,156.04965439706496,88.27953237156169,88.27953237156169,87.38380665479954,82.41800723381708,81.03420721409714
40,20.0,0.9402930536011742,62.66565439706494,62.31396666568862,156.04965439706496,90.75403036808807,90.75403036808808,90.75403036808808,90.75403036808807,83.75584390961683
41,20.5,0.881553203394832,59.781648239687264,64.22585832930102,156.04965439706496,93.72455671018707,93.72455671018704,93.72455671018709,93.72455671018707,91.24190381701086
42,21.0,0.7931219544706033,56.54689037292404,54.62627886281527,156.04965439706496,97.0563573129532,91.6031902249671,97.0563573129532,97.0563573129532,97.0563573129532
43,21.5,0.7725813618988051,53.11558668921349,52.050515427701825,156.04965439706496,100.59060010717506,84.74209278148423,100.59060010717508,100.59060010717506,97.62741975321855
44,22.0,0.6847021720245938,49.6505794496922,48.6605589048998,156.04965439706496,104.15955756388199,78.7019627261498,104.15955756388202,104.159557563882,93.3008915631153
45,22.5,0.6755924256263155,46.30871036840401,46.77761235113939,156.04965439706496,107.60168271760882,64.41932842142648,107.60168271760885,107.60168271760882,76.53111864237103
46,23.0,0.5694026737297994,43.228224214136375,36.70692600949955,156.04965439706496,110.77458345650449,42.31113232690756,104.09268872183253,110.7745834565045,37.683166969081995
47,23.5,0.5582275135312361,40.519618869762944,39.59422625156356,156.04965439706496,113.56444696120911,14.423527319873877,92.47300081885594,113.56444696120913,10.30402659165122
