slot,hour,price,base_forecast_kw,base_actual_kw,transformer_capacity_kw,available_ev_capacity_kw,uncontrolled_capped_ev_load_kw,greedy_deadline_price_ev_load_kw,offline_centralized_lp_ev_load_kw,online_lyapunov_admm_ev_load_kw
0,0.0,0.4089258085048858,30.00000061925505,29.97571827422046,156.04965439706496,126.04965377780991,0.0,0.0,0.0,0.0
1,0.5,0.46268449153798263,30.10266321047052,25.723173351446995,156.04965439706496,125.94699118659443,17.6,17.6,0.0,17.59999959492854
2,1.0,0.44859503003680234,30.40889385576631,36.13364649799129,156.04965439706496,125.64076054129865,17.6,17.6,11.0,17.59999963979338
3,1.5,0.460531613393173,30.913454581803283,35.81283782893079,156.04965439706496,125.13619981526168,24.799999999999997,24.799999999999997,6.203799120874495,24.799998030141904
4,2.0,0.42623412233934327,31.607715984434424,30.033170909704662,156.04965439706496,124.44193841263053,20.927554103995792,20.927554103995792,24.799999999999997,20.927553187092876
5,2.5,0.43589584037414697,32.47980711009322,35.14131013445873,156.04965439706496,123.56984728697174,18.2,18.2,24.799999999999997,18.19999797456431
6,3.0,0.4303014603525988,33.51482297205025,34.8443127628805,156.04965439706496,122.53483142501472,10.523799120874497,10.523799120874497,24.799999999999997,10.52379620128252
7,3.5,0.438818509176484,34.69508799991182,25.334088270467973,156.04965439706496,121.35456639715314,2.8799999999999986,2.8799999999999986,20.927554103995796,2.8800079450129914
8,4.0,0.47605052112666085,36.00047408514821,36.916937947323035,156.04965439706496,120.04918031191674,0.0,0.0,0.0,0.0
9,4.5,0.4681793204997483,37.408772997167276,37.179068471985275,156.04965439706496,118.64088139989768,6.6,6.6,6.6,6.599999886349691
10,5.0,0.521244635708049,38.896125006931236,39.21516099215251,156.04965439706496,117.15352939013371,13.2,13.2,13.2,13.199998312962531
11,5.5,0.5537982132425858,40.43750868782824,36.20942797251452,156.04965439706496,115.61214570923671,13.2,13.2,13.2,13.199999260628282
12,6.0,0.6355067628446415,42.00730096597073,40.924407850547574,156.04965439706496,114.04235343109423,13.2,7.417137603831161,13.2,13.199999716577482
13,6.5,0.5918988297282997,43.57992104663645,42.84642273151871,156.04965439706496,112.4697333504285,13.2,7.417137603831161,13.2,13.199999770683855
14,7.0,0.6865662877972031,45.13057567782443,50.12987956258008,156.04965439706496,110.91907871924053,20.4,11.944161568272353,5.562143786647151,20.39999811923082
